fam,geneA1_extracted,geneA2_extracted,geneB1_extracted,geneB2_extracted
Legume.fam3.01113,Glyma.18G107300,Glyma.08G309100,Glyma.14G028400,Glyma.02G285300
Legume.fam3.01117,Glyma.06G029500,Glyma.04G029500,Glyma.17G253300,Glyma.14G071300
Legume.fam3.01118,Glyma.18G107100,Glyma.08G309200,Glyma.02G286500,Glyma.14G028300
Legume.fam3.01119,Glyma.15G121700,Glyma.09G015900,Glyma.07G269100,Glyma.17G004500
Legume.fam3.01120,Glyma.15G053000,Glyma.08G179400,Glyma.08G073300,Glyma.05G118300
Legume.fam3.01121,Glyma.15G053700,Glyma.08G178800,Glyma.08G071900,Glyma.05G116800
Legume.fam3.01122,Glyma.15G054600,Glyma.08G178000,Glyma.13G043900,Glyma.08G071300
Legume.fam3.01123,Glyma.15G061200,Glyma.13G253700,Glyma.07G184900,Glyma.08G064500
Legume.fam3.01124,Glyma.13G239100,Glyma.15G074200,Glyma.07G196500,Glyma.13G179600
Legume.fam3.01125,Glyma.07G197100,Glyma.13G179200,Glyma.13G238500,Glyma.15G074800
Legume.fam3.01128,Glyma.13G229000,Glyma.15G083500,Glyma.05G159000,Glyma.08G116800
Legume.fam3.01129,Glyma.13G128700,Glyma.10G041700,Glyma.19G170700,Glyma.03G169500
Legume.fam3.01130,Glyma.20G233100,Glyma.10G155200,Glyma.03G238700,Glyma.19G236100
Legume.fam3.01134,Glyma.03G008800,Glyma.07G070300,Glyma.18G233500,Glyma.09G259100
Legume.fam3.01135,Glyma.19G254200,Glyma.03G256300,Glyma.07G057700,Glyma.16G026700
Legume.fam3.01136,Glyma.03G258800,Glyma.19G257500,Glyma.16G022900,Glyma.07G053900
Legume.fam3.01138,Glyma.15G022700,Glyma.13G352100,Glyma.08G196500,Glyma.07G012800
Legume.fam3.01139,Glyma.18G225900,Glyma.09G265000,Glyma.03G016700,Glyma.07G077000
Legume.fam3.01140,Glyma.03G086800,Glyma.16G087300,Glyma.08G346300,Glyma.18G156900
Legume.fam3.01142,Glyma.08G349500,Glyma.18G166800,Glyma.03G084000,Glyma.16G090700
Legume.fam3.01144,Glyma.09G265500,Glyma.18G225700,Glyma.03G016500,Glyma.07G076700
Legume.fam3.01148,Glyma.01G143100,Glyma.03G023500,Glyma.09G268900,Glyma.18G220900
Legume.fam3.01149,Glyma.06G229900,Glyma.12G161300,Glyma.12G229400,Glyma.13G270400
Legume.fam3.01151,Glyma.05G025500,Glyma.17G101500,Glyma.04G167200,Glyma.06G195500
Legume.fam3.01155,Glyma.04G205100,Glyma.06G160500,Glyma.05G198050,Glyma.08G005400
Legume.fam3.01156,Glyma.08G005200,Glyma.05G197900,Glyma.06G160200,Glyma.04G205300
Legume.fam3.01157,Glyma.06G159500,Glyma.04G206100,Glyma.05G197200,Glyma.08G004600
Legume.fam3.01158,Glyma.08G145300,Glyma.05G186700,Glyma.06G148400,Glyma.04G217400
Legume.fam3.01159,Glyma.08G143800,Glyma.05G185700,Glyma.06G147800,Glyma.04G218200
Legume.fam3.01160,Glyma.05G181600,Glyma.08G139300,Glyma.11G237800,Glyma.18G019600
Legume.fam3.01162,Glyma.08G104400,Glyma.05G147400,Glyma.18G006600,Glyma.11G250600
Legume.fam3.01163,Glyma.05G148300,Glyma.08G105200,Glyma.11G251900,Glyma.18G005100
Legume.fam3.01165,Glyma.06G260800,Glyma.12G141000,Glyma.12G216700,Glyma.13G284600
Legume.fam3.01166,Glyma.15G162600,Glyma.09G056300,Glyma.13G097900,Glyma.17G061800
Legume.fam3.01167,Glyma.09G056900,Glyma.15G163200,Glyma.13G098200,Glyma.17G061500
Legume.fam3.01168,Glyma.09G057400,Glyma.15G163700,Glyma.17G061200,Glyma.13G098600
Legume.fam3.01170,Glyma.13G100100,Glyma.17G059800,Glyma.09G059000,Glyma.15G165100
Legume.fam3.01171,Glyma.13G101300,Glyma.17G058400,Glyma.09G060500,Glyma.15G167000
Legume.fam3.01173,Glyma.17G052500,Glyma.13G106800,Glyma.15G172500,Glyma.09G066500
Legume.fam3.01174,Glyma.12G134800,Glyma.06G270000,Glyma.13G288500,Glyma.12G213200
Legume.fam3.01175,Glyma.17G031000,Glyma.07G242900,Glyma.09G039600,Glyma.15G144800
Legume.fam3.01178,Glyma.13G114000,Glyma.17G045800,Glyma.15G182600,Glyma.09G073600
Legume.fam3.01179,Glyma.09G071500,Glyma.15G179500,Glyma.13G111900,Glyma.17G047800
Legume.fam3.01180,Glyma.02G002900,Glyma.10G006100,Glyma.20G209000,Glyma.10G181400
Legume.fam3.01182,Glyma.11G004300,Glyma.01G239200,Glyma.20G143500,Glyma.10G250100
Legume.fam3.01183,Glyma.17G018800,Glyma.07G255400,Glyma.13G210300,Glyma.15G102500
Legume.fam3.01184,Glyma.13G212500,Glyma.15G100300,Glyma.17G021000,Glyma.07G253400
Legume.fam3.01187,Glyma.02G050400,Glyma.16G130500,Glyma.11G075100,Glyma.01G168200
Legume.fam3.01188,Glyma.16G143200,Glyma.02G060732,Glyma.01G180200,Glyma.11G062000
Legume.fam3.01191,Glyma.01G198900,Glyma.11G042900,Glyma.17G155200,Glyma.05G111800
Legume.fam3.01194,Glyma.05G053900,Glyma.17G136300,Glyma.01G212800,Glyma.11G029000
Legume.fam3.01195,Glyma.01G219600,Glyma.11G023900,Glyma.08G014000,Glyma.05G207300
Legume.fam3.01196,Glyma.06G303700,Glyma.12G100100,Glyma.13G308200,Glyma.12G194400
Legume.fam3.01197,Glyma.09G199900,Glyma.01G022400,Glyma.18G148100,Glyma.08G278700
Legume.fam3.01199,Glyma.18G140800,Glyma.08G284500,Glyma.01G028600,Glyma.02G036700
Legume.fam3.01201,Glyma.01G054800,Glyma.02G113300,Glyma.07G227100,Glyma.20G027500
Legume.fam3.01202,Glyma.02G115900,Glyma.01G058000,Glyma.07G226000,Glyma.20G025900
Legume.fam3.01205,Glyma.01G087500,Glyma.02G099500,Glyma.20G186200,Glyma.10G204400
Legume.fam3.01206,Glyma.07G169700,Glyma.02G085000,Glyma.05G238700,Glyma.08G045800
Legume.fam3.01208,Glyma.12G077333,Glyma.11G197001,Glyma.12G175351,Glyma.13G324534
Legume.fam3.01209,Glyma.11G146500,Glyma.12G075400,Glyma.13G325900,Glyma.12G172500
Legume.fam3.01210,Glyma.12G067700,Glyma.11G146800,Glyma.12G172800,Glyma.13G326200
Legume.fam3.01212,Glyma.12G072400,Glyma.11G151497,Glyma.15G044800,Glyma.13G329000
Legume.fam3.01213,Glyma.15G044700,Glyma.13G329100,Glyma.11G151079,Glyma.12G072700
Legume.fam3.01214,Glyma.11G149825,Glyma.12G073300,Glyma.13G329700,Glyma.15G044400
Legume.fam3.01215,Glyma.11G128000,Glyma.12G052700,Glyma.13G343900,Glyma.15G030400
Legume.fam3.01218,Glyma.11G089400,Glyma.01G155300,Glyma.16G111200,Glyma.09G194900
Legume.fam3.01219,Glyma.11G080100,Glyma.01G163300,Glyma.02G045400,Glyma.16G123100
Legume.fam3.01221,Glyma.07G268550,Glyma.17G005200,Glyma.15G120700,Glyma.09G015000
Legume.fam3.01223,Glyma.01G236600,Glyma.11G006600,Glyma.20G149400,Glyma.10G245200
Legume.fam3.01224,Glyma.13G345500,Glyma.15G028800,Glyma.12G050600,Glyma.11G126000
Legume.fam3.01227,Glyma.12G187700,Glyma.13G313500,Glyma.11G179600,Glyma.12G093800
Legume.fam3.01229,Glyma.08G127400,Glyma.05G168802,Glyma.15G045600,Glyma.08G187400
Legume.fam3.01230,Glyma.10G028800,Glyma.02G145200,Glyma.03G156600,Glyma.19G158900
Legume.fam3.01233,Glyma.10G290200,Glyma.20G099100,Glyma.18G287200,Glyma.02G094500
Legume.fam3.01238,Glyma.16G200800,Glyma.09G149200,Glyma.20G153400,Glyma.10G241100
Legume.fam3.01240,Glyma.18G202600,Glyma.07G151300,Glyma.01G120400,Glyma.03G056700
Legume.fam3.01246,Glyma.18G213600,Glyma.09G274600,Glyma.03G034200,Glyma.01G133300
Legume.fam3.01249,Glyma.13G360600,Glyma.15G013300,Glyma.07G034400,Glyma.08G207700
Legume.fam3.01250,Glyma.13G360900,Glyma.15G013000,Glyma.08G207800,Glyma.07G034300
Legume.fam3.01252,Glyma.13G046300,Glyma.19G046300,Glyma.08G365100,Glyma.18G297100
Legume.fam3.01254,Glyma.19G028100,Glyma.13G058100,Glyma.08G242500,Glyma.18G264700
Legume.fam3.01255,Glyma.13G050700,Glyma.19G037900,Glyma.08G254400,Glyma.18G277100
Legume.fam3.01256,Glyma.19G039100,Glyma.13G050200,Glyma.18G278200,Glyma.08G255300
Legume.fam3.01257,Glyma.08G249800,Glyma.18G272100,Glyma.19G033600,Glyma.13G053200
Legume.fam3.01258,Glyma.09G140300,Glyma.16G194100,Glyma.20G157300,Glyma.10G237000
Legume.fam3.01259,Glyma.20G156500,Glyma.10G238100,Glyma.09G143700,Glyma.16G196700
Legume.fam3.01263,Glyma.20G214600,Glyma.10G175900,Glyma.16G207900,Glyma.09G157300
Legume.fam3.01267,Glyma.07G260100,Glyma.17G013900,Glyma.15G107700,Glyma.13G205000
Legume.fam3.01269,Glyma.08G045100,Glyma.05G238000,Glyma.07G092900,Glyma.09G183300
Legume.fam3.01271,Glyma.01G146300,Glyma.09G193800,Glyma.05G228500,Glyma.08G035400
Legume.fam3.01272,Glyma.08G035000,Glyma.05G228100,Glyma.09G194800,Glyma.01G147600
Legume.fam3.01274,Glyma.13G065500,Glyma.19G019100,Glyma.09G241100,Glyma.18G255000
Legume.fam3.01275,Glyma.10G020800,Glyma.02G153500,Glyma.03G210700,Glyma.19G207900
Legume.fam3.01277,Glyma.03G148500,Glyma.19G151800,Glyma.02G150900,Glyma.10G023100
Legume.fam3.01278,Glyma.19G161000,Glyma.03G158600,Glyma.02G142600,Glyma.10G031800
Legume.fam3.01280,Glyma.10G038600,Glyma.13G125000,Glyma.19G166100,Glyma.03G164700
Legume.fam3.01283,Glyma.03G169700,Glyma.19G170900,Glyma.10G042300,Glyma.13G129700
Legume.fam3.01284,Glyma.03G171800,Glyma.19G172700,Glyma.13G131300,Glyma.10G043600
Legume.fam3.01286,Glyma.01G242100,Glyma.11G002100,Glyma.10G256100,Glyma.20G135500
Legume.fam3.01287,Glyma.19G185300,Glyma.03G184800,Glyma.13G145400,Glyma.10G058600
Legume.fam3.01289,Glyma.20G133800,Glyma.10G257300,Glyma.11G001500,Glyma.01G242800
Legume.fam3.01291,Glyma.03G201600,Glyma.19G198900,Glyma.02G197600,Glyma.10G080000
Legume.fam3.01294,Glyma.19G109100,Glyma.16G042900,Glyma.02G070600,Glyma.16G152100
Legume.fam3.01298,Glyma.10G140200,Glyma.20G089100,Glyma.03G225900,Glyma.19G222900
Legume.fam3.01300,Glyma.10G166500,Glyma.20G222700,Glyma.03G251300,Glyma.19G248600
Legume.fam3.01302,Glyma.06G197600,Glyma.04G165400,Glyma.17G103400,Glyma.05G024000
Legume.fam3.01303,Glyma.11G124100,Glyma.12G048600,Glyma.07G163700,Glyma.20G008700
Legume.fam3.01304,Glyma.14G219600,Glyma.17G258500,Glyma.06G023900,Glyma.04G023700
Legume.fam3.01305,Glyma.14G217900,Glyma.17G256900,Glyma.06G025400,Glyma.04G025400
Legume.fam3.01307,Glyma.14G155500,Glyma.13G034500,Glyma.04G245300,Glyma.06G117900
Legume.fam3.01308,Glyma.14G174500,Glyma.13G089700,Glyma.04G100700,Glyma.06G102500
Legume.fam3.01309,Glyma.02G208200,Glyma.14G176400,Glyma.04G100300,Glyma.06G102000
Legume.fam3.01310,Glyma.14G176900,Glyma.02G208700,Glyma.06G101500,Glyma.04G099900
Legume.fam3.01311,Glyma.14G178000,Glyma.02G210500,Glyma.06G100000,Glyma.04G098400
Legume.fam3.01313,Glyma.04G096000,Glyma.06G097700,Glyma.14G182700,Glyma.02G215300
Legume.fam3.01314,Glyma.14G185300,Glyma.02G217900,Glyma.06G091900,Glyma.04G090000
Legume.fam3.01316,Glyma.04G081100,Glyma.06G082800,Glyma.17G191000,Glyma.14G142900
Legume.fam3.01317,Glyma.17G189700,Glyma.14G141200,Glyma.04G079700,Glyma.06G081300
Legume.fam3.01318,Glyma.06G079800,Glyma.04G078300,Glyma.14G139700,Glyma.17G188500
Legume.fam3.01319,Glyma.14G139400,Glyma.17G188800,Glyma.06G079500,Glyma.04G078100
Legume.fam3.01320,Glyma.04G012500,Glyma.06G012200,Glyma.12G042800,Glyma.11G117100
Legume.fam3.01321,Glyma.04G060700,Glyma.06G061300,Glyma.17G223200,Glyma.14G102000
Legume.fam3.01323,Glyma.04G055100,Glyma.06G055200,Glyma.17G225300,Glyma.14G099400
Legume.fam3.01325,Glyma.17G236200,Glyma.14G088300,Glyma.06G045400,Glyma.04G044900
Legume.fam3.01331,Glyma.14G057400,Glyma.02G263900,Glyma.18G025100,Glyma.11G232200
Legume.fam3.01332,Glyma.02G264000,Glyma.14G057500,Glyma.11G231800,Glyma.18G025400
Legume.fam3.01335,Glyma.18G034800,Glyma.11G222800,Glyma.02G250400,Glyma.14G066200
Legume.fam3.01336,Glyma.11G213000,Glyma.18G043600,Glyma.02G241400,Glyma.14G211100
Legume.fam3.01337,Glyma.18G073400,Glyma.08G333400,Glyma.02G302900,Glyma.14G011000
Legume.fam3.01339,Glyma.08G325300,Glyma.18G081900,Glyma.14G016700,Glyma.02G296900
Legume.fam3.01340,Glyma.08G319100,Glyma.18G094400,Glyma.02G292300,Glyma.14G022300
Legume.fam3.01342,Glyma.18G064900,Glyma.11G176800,Glyma.02G224600,Glyma.14G191300
Legume.fam3.01343,Glyma.18G107600,Glyma.08G308900,Glyma.14G029000,Glyma.02G286000
Legume.fam3.01349,Glyma.11G236300,Glyma.18G020900,Glyma.08G140100,Glyma.05G182500
Legume.fam3.01358,Glyma.15G074900,Glyma.13G238400,Glyma.07G197200,Glyma.13G179000
Legume.fam3.01360,Glyma.15G084600,Glyma.13G227900,Glyma.08G117300,Glyma.05G159600
Legume.fam3.01363,Glyma.03G011200,Glyma.07G072300,Glyma.18G231300,Glyma.09G260600
Legume.fam3.01364,Glyma.07G065700,Glyma.16G032200,Glyma.18G238100,Glyma.09G255000
Legume.fam3.01365,Glyma.16G023000,Glyma.07G054000,Glyma.19G257400,Glyma.03G258700
Legume.fam3.01366,Glyma.13G346900,Glyma.15G027500,Glyma.16G005700,Glyma.07G036300
Legume.fam3.01368,Glyma.08G222200,Glyma.07G004300,Glyma.13G372400,Glyma.15G001300
Legume.fam3.01369,Glyma.03G016600,Glyma.07G076800,Glyma.18G225800,Glyma.09G265200
Legume.fam3.01370,Glyma.18G224500,Glyma.09G266200,Glyma.03G019300,Glyma.07G080900
Legume.fam3.01375,Glyma.07G014800,Glyma.08G200400,Glyma.15G020600,Glyma.13G353800
Legume.fam3.01379,Glyma.04G178800,Glyma.06G185900,Glyma.05G033700,Glyma.17G093400
Legume.fam3.01382,Glyma.04G188900,Glyma.06G176700,Glyma.17G124600,Glyma.05G042000
Legume.fam3.01386,Glyma.18G020400,Glyma.11G236600,Glyma.08G139700,Glyma.05G182000
Legume.fam3.01388,Glyma.15G167300,Glyma.09G060700,Glyma.17G058100,Glyma.13G101500
Legume.fam3.01391,Glyma.13G106200,Glyma.17G053200,Glyma.09G065600,Glyma.15G171800
Legume.fam3.01393,Glyma.12G134900,Glyma.06G269900,Glyma.13G288400,Glyma.12G213300
Legume.fam3.01394,Glyma.15G153000,Glyma.09G045800,Glyma.17G025600,Glyma.07G248700
Legume.fam3.01398,Glyma.15G183700,Glyma.09G076100,Glyma.13G115200,Glyma.17G044700
Legume.fam3.01403,Glyma.17G019100,Glyma.07G255200,Glyma.15G102100,Glyma.13G210700
Legume.fam3.01405,Glyma.16G123800,Glyma.02G045800,Glyma.01G164000,Glyma.11G079500
Legume.fam3.01406,Glyma.13G299300,Glyma.12G202400,Glyma.12G109500,Glyma.06G296200
Legume.fam3.01410,Glyma.05G109900,Glyma.17G157200,Glyma.01G196900,Glyma.11G044700
Legume.fam3.01412,Glyma.01G218100,Glyma.11G025100,Glyma.08G013000,Glyma.05G206100
Legume.fam3.01414,Glyma.01G021100,Glyma.09G201000,Glyma.08G276300,Glyma.18G150800
Legume.fam3.01415,Glyma.12G097500,Glyma.06G307200,Glyma.13G309800,Glyma.12G192600
Legume.fam3.01416,Glyma.12G097200,Glyma.06G307600,Glyma.13G309900,Glyma.12G192500
Legume.fam3.01417,Glyma.11G175955,Glyma.12G095300,Glyma.12G189500,Glyma.13G312300
Legume.fam3.01418,Glyma.13G316200,Glyma.12G185200,Glyma.12G089300,Glyma.11G183200
Legume.fam3.01423,Glyma.11G144809,Glyma.12G075100,Glyma.13G331600,Glyma.15G042500
Legume.fam3.01425,Glyma.15G036600,Glyma.13G337900,Glyma.11G137800,Glyma.12G061300
Legume.fam3.01426,Glyma.07G106300,Glyma.09G171900,Glyma.08G056200,Glyma.05G247700
Legume.fam3.01427,Glyma.07G230100,Glyma.20G036400,Glyma.02G107500,Glyma.01G047700
Legume.fam3.01430,Glyma.10G252400,Glyma.20G141000,Glyma.01G240500,Glyma.11G003100
Legume.fam3.01431,Glyma.09G014600,Glyma.15G120300,Glyma.17G005500,Glyma.07G268200
Legume.fam3.01432,Glyma.07G203200,Glyma.13G172500,Glyma.15G079300,Glyma.13G233700
Legume.fam3.01433,Glyma.13G100800,Glyma.17G058900,Glyma.15G166600,Glyma.09G059900
Legume.fam3.01438,Glyma.13G322900,Glyma.12G177700,Glyma.12G079800,Glyma.11G194100
Legume.fam3.01439,Glyma.12G081000,Glyma.11G193000,Glyma.12G178300,Glyma.13G322200
Legume.fam3.01448,Glyma.09G019800,Glyma.15G126200,Glyma.20G022200,Glyma.07G223000
Legume.fam3.01450,Glyma.09G003300,Glyma.12G239900,Glyma.08G150700,Glyma.15G270400
Legume.fam3.01453,Glyma.16G200400,Glyma.09G148700,Glyma.10G240600,Glyma.20G154100
Legume.fam3.01455,Glyma.03G041600,Glyma.01G128700,Glyma.18G209100,Glyma.09G279900
Legume.fam3.01456,Glyma.06G310700,Glyma.04G127900,Glyma.13G189700,Glyma.15G227700
Legume.fam3.01457,Glyma.10G224500,Glyma.20G167300,Glyma.16G166800,Glyma.02G081400
Legume.fam3.01459,Glyma.19G027500,Glyma.13G058900,Glyma.08G241800,Glyma.18G264100
Legume.fam3.01460,Glyma.18G280900,Glyma.08G256600,Glyma.13G047300,Glyma.19G044900
Legume.fam3.01461,Glyma.08G249600,Glyma.18G271700,Glyma.13G053400,Glyma.19G033300
Legume.fam3.01464,Glyma.07G093800,Glyma.09G182500,Glyma.05G237300,Glyma.08G044500
Legume.fam3.01465,Glyma.09G184200,Glyma.07G091900,Glyma.05G234100,Glyma.08G041400
Legume.fam3.01466,Glyma.08G040800,Glyma.05G233500,Glyma.07G090800,Glyma.09G185200
Legume.fam3.01467,Glyma.08G040100,Glyma.05G232700,Glyma.07G089400,Glyma.09G187400
Legume.fam3.01468,Glyma.05G232200,Glyma.08G039600,Glyma.07G088500,Glyma.09G188300
Legume.fam3.01469,Glyma.01G145600,Glyma.09G193400,Glyma.08G036100,Glyma.05G229100
Legume.fam3.01470,Glyma.05G225300,Glyma.08G032100,Glyma.07G126000,Glyma.01G005600
Legume.fam3.01472,Glyma.19G206800,Glyma.03G209400,Glyma.10G021500,Glyma.02G152800
Legume.fam3.01474,Glyma.10G022300,Glyma.02G151900,Glyma.03G208400,Glyma.19G205600
Legume.fam3.01475,Glyma.02G147100,Glyma.10G026800,Glyma.19G156700,Glyma.03G154200
Legume.fam3.01476,Glyma.19G158100,Glyma.03G155800,Glyma.02G146100,Glyma.10G027900
Legume.fam3.01477,Glyma.02G144800,Glyma.10G029300,Glyma.03G157000,Glyma.19G159200
Legume.fam3.01480,Glyma.19G166600,Glyma.03G165400,Glyma.13G125600,Glyma.10G039200
Legume.fam3.01481,Glyma.19G171200,Glyma.03G170000,Glyma.10G042600,Glyma.13G130000
Legume.fam3.01482,Glyma.13G131400,Glyma.10G043700,Glyma.19G172800,Glyma.03G171900
Legume.fam3.01483,Glyma.10G046900,Glyma.13G134900,Glyma.03G175700,Glyma.19G176300
Legume.fam3.01484,Glyma.10G057300,Glyma.13G144000,Glyma.19G183100,Glyma.03G182600
Legume.fam3.01486,Glyma.19G189700,Glyma.03G189400,Glyma.10G064700,Glyma.13G149500
Legume.fam3.01487,Glyma.03G189700,Glyma.19G190100,Glyma.13G149800,Glyma.10G065000
Legume.fam3.01489,Glyma.13G152100,Glyma.10G067100,Glyma.19G192500,Glyma.03G192000
Legume.fam3.01491,Glyma.02G200500,Glyma.10G076100,Glyma.03G199000,Glyma.19G196600
Legume.fam3.01492,Glyma.02G195000,Glyma.10G082800,Glyma.03G203000,Glyma.19G200800
Legume.fam3.01500,Glyma.02G010900,Glyma.10G011300,Glyma.03G220800,Glyma.19G217800
Legume.fam3.01501,Glyma.10G010000,Glyma.02G009300,Glyma.19G219700,Glyma.03G222500
Legume.fam3.01503,Glyma.20G090700,Glyma.10G142200,Glyma.19G224600,Glyma.03G227700
Legume.fam3.01504,Glyma.10G158800,Glyma.20G229800,Glyma.19G241000,Glyma.03G243500
Legume.fam3.01505,Glyma.19G244800,Glyma.03G247100,Glyma.10G162100,Glyma.20G224500
Legume.fam3.01506,Glyma.20G225700,Glyma.10G163100,Glyma.19G245750,Glyma.03G247700
Legume.fam3.01508,Glyma.06G200100,Glyma.04G164400,Glyma.05G023100,Glyma.17G076600
Legume.fam3.01509,Glyma.17G081200,Glyma.05G018800,Glyma.06G205800,Glyma.04G159300
Legume.fam3.01511,Glyma.04G029100,Glyma.06G029100,Glyma.17G254000,Glyma.14G070700
Legume.fam3.01512,Glyma.14G077200,Glyma.17G248400,Glyma.06G034400,Glyma.04G034200
Legume.fam3.01513,Glyma.17G245000,Glyma.14G080400,Glyma.06G037100,Glyma.04G036900
Legume.fam3.01514,Glyma.04G253100,Glyma.06G109400,Glyma.13G083400,Glyma.14G164700
Legume.fam3.01515,Glyma.04G253600,Glyma.06G108800,Glyma.14G166100,Glyma.13G084300
Legume.fam3.01516,Glyma.13G088300,Glyma.14G171700,Glyma.04G103600,Glyma.06G104800
Legume.fam3.01517,Glyma.06G101200,Glyma.04G099300,Glyma.14G177300,Glyma.02G209100
Legume.fam3.01518,Glyma.06G095200,Glyma.04G093300,Glyma.02G211900,Glyma.14G179600
Legume.fam3.01519,Glyma.04G091700,Glyma.06G093500,Glyma.14G181100,Glyma.02G213400
Legume.fam3.01520,Glyma.14G181200,Glyma.02G213500,Glyma.04G091600,Glyma.06G093400
Legume.fam3.01523,Glyma.14G134500,Glyma.17G198400,Glyma.04G075300,Glyma.06G076500
Legume.fam3.01524,Glyma.06G063500,Glyma.04G062500,Glyma.17G217100,Glyma.14G110600
Legume.fam3.01525,Glyma.04G061400,Glyma.06G061900,Glyma.14G103100,Glyma.17G222300
Legume.fam3.01527,Glyma.04G056900,Glyma.06G057300,Glyma.14G107300,Glyma.17G219200
Legume.fam3.01528,Glyma.17G226500,Glyma.14G098200,Glyma.06G056600,Glyma.04G056500
Legume.fam3.01529,Glyma.04G047900,Glyma.06G049200,Glyma.17G232290,Glyma.14G089200
Legume.fam3.01531,Glyma.06G042400,Glyma.04G041300,Glyma.17G239500,Glyma.14G085200
Legume.fam3.01537,Glyma.11G228900,Glyma.18G028300,Glyma.14G059900,Glyma.02G256800
Legume.fam3.01540,Glyma.18G037000,Glyma.11G220400,Glyma.02G249100,Glyma.14G067300
Legume.fam3.01541,Glyma.18G040600,Glyma.11G216000,Glyma.02G244700,Glyma.14G214300
Legume.fam3.01542,Glyma.11G214500,Glyma.18G042100,Glyma.14G212200,Glyma.02G242900
Legume.fam3.01543,Glyma.08G332300,Glyma.18G074600,Glyma.14G011800,Glyma.02G302400
Legume.fam3.01544,Glyma.06G003400,Glyma.04G003500,Glyma.09G218700,Glyma.12G033600
Legume.fam3.01547,Glyma.14G104900,Glyma.17G221100,Glyma.04G059000,Glyma.06G059700
Legume.fam3.01550,Glyma.18G056600,Glyma.11G163300,Glyma.14G200200,Glyma.02G232600
Legume.fam3.01551,Glyma.11G186700,Glyma.18G052500,Glyma.14G204100,Glyma.02G236200
Legume.fam3.01552,Glyma.18G081700,Glyma.08G325500,Glyma.02G297000,Glyma.14G016600
Legume.fam3.01553,Glyma.15G047700,Glyma.08G185000,Glyma.15G047000,Glyma.08G185800
Legume.fam3.01557,Glyma.13G256300,Glyma.15G058400,Glyma.07G182400,Glyma.08G067400
Legume.fam3.01558,Glyma.07G189100,Glyma.08G060200,Glyma.15G066600,Glyma.13G247400
Legume.fam3.01559,Glyma.07G192400,Glyma.13G184000,Glyma.15G069700,Glyma.13G244000
Legume.fam3.01561,Glyma.13G179300,Glyma.07G197000,Glyma.13G238800,Glyma.15G074500
Legume.fam3.01564,Glyma.13G174000,Glyma.07G202200,Glyma.13G234200,Glyma.15G078800
Legume.fam3.01565,Glyma.10G069700,Glyma.13G152644,Glyma.13G172700,Glyma.07G203000
Legume.fam3.01566,Glyma.08G116500,Glyma.05G158700,Glyma.15G084100,Glyma.13G228400
Legume.fam3.01571,Glyma.09G261700,Glyma.18G230500,Glyma.07G073100,Glyma.03G013400
Legume.fam3.01572,Glyma.03G259300,Glyma.19G258100,Glyma.16G021700,Glyma.07G052700
Legume.fam3.01574,Glyma.07G013600,Glyma.08G197600,Glyma.13G352600,Glyma.15G022000
Legume.fam3.01576,Glyma.07G015200,Glyma.08G200700,Glyma.13G354100,Glyma.15G020300
Legume.fam3.01577,Glyma.08G201100,Glyma.07G015600,Glyma.13G354700,Glyma.15G019500
Legume.fam3.01581,Glyma.09G266500,Glyma.18G224200,Glyma.07G081600,Glyma.03G019700
Legume.fam3.01583,Glyma.07G142000,Glyma.18G192800,Glyma.03G073768,Glyma.01G108000
Legume.fam3.01584,Glyma.01G113200,Glyma.03G078600,Glyma.07G146800,Glyma.18G197800
Legume.fam3.01585,Glyma.18G233700,Glyma.09G258900,Glyma.07G069800,Glyma.03G008500
Legume.fam3.01586,Glyma.09G276400,Glyma.18G215300,Glyma.03G036600,Glyma.01G131900
Legume.fam3.01587,Glyma.05G027000,Glyma.17G099800,Glyma.04G170100,Glyma.06G193600
Legume.fam3.01589,Glyma.06G178900,Glyma.04G186900,Glyma.05G040500,Glyma.17G086300
Legume.fam3.01591,Glyma.06G175900,Glyma.04G189600,Glyma.05G042700,Glyma.17G125500
Legume.fam3.01592,Glyma.17G125700,Glyma.05G043200,Glyma.06G175400,Glyma.04G190100
Legume.fam3.01593,Glyma.17G126800,Glyma.05G044300,Glyma.04G192100,Glyma.06G173700
Legume.fam3.01595,Glyma.08G005600,Glyma.05G198300,Glyma.04G204400,Glyma.06G161200
Legume.fam3.01603,Glyma.08G137500,Glyma.05G179800,Glyma.11G239300,Glyma.18G018100
Legume.fam3.01604,Glyma.05G175600,Glyma.08G132800,Glyma.18G014900,Glyma.11G242200
Legume.fam3.01611,Glyma.17G023600,Glyma.07G250700,Glyma.15G097000,Glyma.13G215900
Legume.fam3.01612,Glyma.15G154300,Glyma.09G046800,Glyma.07G249700,Glyma.17G024700
Legume.fam3.01614,Glyma.15G148800,Glyma.09G044300,Glyma.17G027200,Glyma.07G246800
Legume.fam3.01615,Glyma.17G027500,Glyma.07G246500,Glyma.09G043300,Glyma.15G149700
Legume.fam3.01617,Glyma.09G034500,Glyma.15G139200,Glyma.07G238300,Glyma.17G035200
Legume.fam3.01618,Glyma.17G040000,Glyma.07G234500,Glyma.15G189200,Glyma.09G081800
Legume.fam3.01622,Glyma.10G127800,Glyma.20G079300,Glyma.10G193200,Glyma.20G197100
Legume.fam3.01624,Glyma.12G206600,Glyma.13G294300,Glyma.12G117700,Glyma.06G289300
